customer_id,customer_fname,customer_lname,customer_city,customer_state,total_orders,total_spent
791,Mary,Smith,Canton,MI,43,10524.17
9371,Mary,Patterson,Meridian,ID,44,9299.03
8766,Mary,Duncan,Caguas,PR,38,9296.14
1657,Betty,Phillips,Caguas,PR,42,9223.71
2641,Betty,Spears,Carrollton,TX,43,9130.92
1288,Evelyn,Thompson,Caguas,PR,42,9019.11
3710,Ashley,Smith,Springfield,MO,42,9019.1
4249,Mary,Butler,Caguas,PR,39,8918.85
5654,Jerry,Smith,Caguas,PR,47,8904.95
5624,Mary,Mata,Caguas,PR,38,8761.98
5715,Kelly,Smith,Caguas,PR,44,8595.13
1464,Amber,Dixon,Caguas,PR,42,8409.22
10235,Joseph,Singh,Caguas,PR,42,8404.22
664,Bobby,Jimenez,Holland,MI,39,8394.26
10351,Teresa,Gray,Caguas,PR,28,8339.26
2292,Ashley,Smith,San Benito,TX,38,8293.04
4663,Paul,Smith,Columbus,GA,40,8279.89
3708,Judy,Miller,Westerville,OH,44,8275.09
12284,Mary,Smith,New Haven,CT,43,8258.62
7200,Katherine,Smith,Caguas,PR,35,8229.01
5927,Christopher,Cooper,Caguas,PR,35,8169.13
5004,Dorothy,Friedman,Miami,FL,45,8164.7
1443,Denise,Cohen,West Orange,NJ,43,8150.13
6316,Kyle,Smith,Caguas,PR,39,8105.18
12431,Mary,Rios,Kaneohe,HI,36,8073.15
5897,Mary,Griffin,Newburgh,NY,39,8061.12
2774,Sandra,Smith,Lockport,IL,36,8039.3
1011,Mary,Smith,Caguas,PR,38,8023.96
6950,Nicholas,Smith,Marrero,LA,40,7951.12
5216,Mary,Pitts,Caguas,PR,36,7929.13
9300,Mary,Smith,Enfield,CT,31,7891.21
10591,Deborah,Humphrey,Plymouth,MA,45,7889.05
9727,Mary,Cruz,Chicago,IL,37,7869.2
9557,Mary,Figueroa,Gardena,CA,28,7782.25
6375,Mary,Smith,Levittown,NY,36,7740.13
4781,Janet,Smith,Caguas,PR,31,7719.19
2723,Mary,Brady,Caguas,PR,30,7719.08
11017,Rachel,Prince,Caguas,PR,36,7692.17
5146,Harry,Graves,Santa Ana,CA,38,7689.15
9271,Christopher,Smith,Fort Worth,TX,35,7665.25
12285,Patrick,Mcgee,Caguas,PR,29,7659.12
8517,Debra,Smith,Humacao,PR,34,7654.22
7218,Mary,Nguyen,Brooklyn,NY,34,7654.13
749,Jesse,Matthews,Caguas,PR,38,7649.38
10777,Martha,Smith,Caguas,PR,34,7644.25
1492,Gerald,Patel,Montebello,CA,38,7627.15
5691,James,Brown,Humacao,PR,39,7609.04
5217,David,Smith,Livermore,CA,32,7559.19
9737,Benjamin,Smith,Caguas,PR,36,7539.04
10371,Joseph,Smith,Mount Prospect,IL,36,7518.13
341,Mary,Smith,Carlsbad,CA,37,7516.02
2484,Sarah,Smith,Apex,NC,29,7499.32
9883,Michelle,Waters,Caguas,PR,36,7499.09
9494,Robert,Gilmore,Del Rio,TX,36,7495.16
5283,Jacob,Guerrero,Escondido,CA,39,7475.32
1695,Amanda,Marquez,Saint Paul,MN,33,7469.26
1920,Stephanie,Archer,Caguas,PR,38,7457.02
11065,Aaron,Smith,New York,NY,41,7450.05
9962,Diana,Smith,Caguas,PR,32,7419.23
5053,Mary,Smith,Caguas,PR,33,7411.32
773,Dylan,Horton,Saint Paul,MN,34,7394.19
11431,Willie,Sanders,Sacramento,CA,35,7384.19
7631,Alexander,Nguyen,Caguas,PR,34,7369.2
898,Cheryl,Smith,Tampa,FL,35,7369.16
11888,Frank,Barrett,Fullerton,CA,31,7344.14
450,Kathryn,Carter,Caguas,PR,37,7331.09
9821,Deborah,Smith,New Bedford,MA,39,7328.2
5648,Joshua,Smith,Memphis,TN,41,7323.22
1577,Mary,Smith,Caguas,PR,34,7309.33
